country_code,id,country,country_long,Gold Medal,Silver Medal,Bronze Medal,Total
ALB,8,Albania,Albania,0,0,2,2
ARG,32,Argentina,Argentina,1,1,1,3
ARM,51,Armenia,Armenia,0,3,1,4
AUS,36,Australia,Australia,18,19,16,53
AUT,40,Austria,Austria,2,0,3,5
AZE,31,Azerbaijan,Azerbaijan,2,2,3,7
BEL,56,Belgium,Belgium,3,1,6,10
BRA,76,Brazil,Brazil,3,7,10,20
BRN,96,Bahrain,Bahrain,2,1,1,4
CPV,132,Cabo Verde,Cabo Verde,0,0,1,1
CAN,124,Canada,Canada,9,7,11,27
CHN,156,China,People's Republic of China,40,27,24,91
COL,170,Colombia,Colombia,0,3,1,4
CIV,384,Côte d'Ivoire,Côte d'Ivoire,0,0,1,1
CUB,192,Cuba,Cuba,2,1,6,9
CYP,196,Cyprus,Cyprus,0,1,0,1
CZE,203,Czechia,Czechia,3,0,2,5
DMA,212,Dominica,Dominica,1,0,0,1
DOM,214,Dominican Republic,Dominican Republic,1,0,2,3
ECU,218,Ecuador,Ecuador,1,2,2,5
EGY,818,Egypt,Egypt,1,1,1,3
ETH,231,Ethiopia,Ethiopia,1,3,0,4
FRA,250,France,France,16,26,22,64
GEO,268,Georgia,Georgia,3,3,1,7
HKG,344,"Hong Kong, China","Hong Kong, China",2,0,2,4
HUN,348,Hungary,Hungary,6,7,6,19
IND,356,India,India,0,1,5,6
IRL,372,Ireland,Ireland,4,0,3,7
ISR,376,Israel,Israel,1,5,1,7
ITA,380,Italy,Italy,12,13,15,40
JAM,388,Jamaica,Jamaica,1,3,2,6
JPN,392,Japan,Japan,20,12,13,45
JOR,400,Jordan,Jordan,0,1,0,1
KAZ,398,Kazakhstan,Kazakhstan,1,3,3,7
KEN,404,Kenya,Kenya,4,2,5,11
PRK,408,DPR Korea,Democratic People's Republic of Korea,0,2,4,6
KOR,410,Korea,Republic of Korea,13,9,10,32
KGZ,417,Kyrgyzstan,Kyrgyzstan,0,2,4,6
LTU,440,Lithuania,Lithuania,0,2,2,4
MEX,484,Mexico,Mexico,0,3,2,5
MDA,498,Republic of Moldova,Republic of Moldova,0,1,3,4
MAR,504,Morocco,Morocco,1,0,1,2
NZL,554,New Zealand,New Zealand,10,7,3,20
NOR,578,Norway,Norway,4,1,3,8
PAK,586,Pakistan,Pakistan,1,0,0,1
PAN,591,Panama,Panama,0,1,0,1
PER,604,Peru,Peru,0,0,1,1
POL,616,Poland,Poland,1,4,5,10
QAT,634,Qatar,Qatar,0,0,1,1
ROU,642,Romania,Romania,3,4,2,9
LCA,662,Saint Lucia,Saint Lucia,1,1,0,2
SRB,688,Serbia,Serbia,3,1,1,5
SGP,702,Singapore,Singapore,0,0,1,1
SVK,703,Slovakia,Slovakia,0,0,1,1
ESP,724,Spain,Spain,5,4,9,18
SWE,752,Sweden,Sweden,4,4,3,11
TJK,762,Tajikistan,Tajikistan,0,0,3,3
THA,764,Thailand,Thailand,1,3,2,6
TUN,788,Tunisia,Tunisia,1,1,1,3
TUR,792,Türkiye,Türkiye,0,3,5,8
UGA,800,Uganda,Uganda,1,1,0,2
UKR,804,Ukraine,Ukraine,3,5,4,12
GBR,826,Great Britain,Great Britain,14,22,29,65
USA,840,United States,United States of America,40,44,42,126
UZB,860,Uzbekistan,Uzbekistan,8,2,3,13
