Year,Sport
1896,Tennis
1900,Croquet
1900,Archery
1900,Golf
1900,Rugby
1900,Cricket
1900,Polo
1900,Tug-Of-War
1900,Basque Pelota
1900,Tennis
1904,Roque
1904,Golf
1904,Lacrosse
1904,Tennis
1904,Tug-Of-War
1904,Archery
1906,Tug-Of-War
1906,Tennis
1908,Tug-Of-War
1908,Polo
1908,Jeu De Paume
1908,Lacrosse
1908,Rugby
1908,Figure Skating
1908,Motorboating
1908,Tennis
1908,Racquets
1908,Archery
1912,Art Competitions
1912,Tennis
1912,Tug-Of-War
1920,Tug-Of-War
1920,Ice Hockey
1920,Tennis
1920,Rugby
1920,Archery
1920,Figure Skating
1920,Art Competitions
1920,Polo
1924,Polo
1924,Tennis
1924,Art Competitions
1924,Rugby
1928,Art Competitions
1932,Alpinism
1932,Art Competitions
1936,Alpinism
1936,Polo
1936,Art Competitions
1936,Handball
1936,Aeronautics
1948,Art Competitions
1972,Handball
1972,Archery
1976,Handball
1976,Archery
1980,Archery
1980,Handball
1984,Rhythmic Gymnastics
1984,Handball
1984,Archery
1984,Synchronized Swimming
1988,Handball
1988,Archery
1988,Tennis
1988,Table Tennis
1988,Rhythmic Gymnastics
1988,Synchronized Swimming
1992,Archery
1992,Tennis
1992,Table Tennis
1992,Synchronized Swimming
1992,Baseball
1992,Rhythmic Gymnastics
1992,Handball
1992,Badminton
1996,Table Tennis
1996,Archery
1996,Softball
1996,Beach Volleyball
1996,Rhythmic Gymnastics
1996,Badminton
1996,Synchronized Swimming
1996,Handball
1996,Baseball
1996,Tennis
2000,Handball
2000,Softball
2000,Baseball
2000,Taekwondo
2000,Triathlon
2000,Rhythmic Gymnastics
2000,Tennis
2000,Archery
2000,Badminton
2000,Beach Volleyball
2000,Table Tennis
2000,Synchronized Swimming
2000,Trampolining
2004,Table Tennis
2004,Badminton
2004,Trampolining
2004,Beach Volleyball
2004,Archery
2004,Rhythmic Gymnastics
2004,Handball
2004,Softball
2004,Baseball
2004,Tennis
2004,Taekwondo
2004,Synchronized Swimming
2004,Triathlon
2008,Trampolining
2008,Table Tennis
2008,Baseball
2008,Badminton
2008,Rhythmic Gymnastics
2008,Synchronized Swimming
2008,Triathlon
2008,Beach Volleyball
2008,Archery
2008,Handball
2008,Taekwondo
2008,Tennis
2008,Softball
2012,Taekwondo
2012,Trampolining
2012,Synchronized Swimming
2012,Badminton
2012,Beach Volleyball
2012,Archery
2012,Handball
2012,Tennis
2012,Table Tennis
2012,Triathlon
2012,Rhythmic Gymnastics
2016,Beach Volleyball
2016,Tennis
2016,Triathlon
2016,Rhythmic Gymnastics
2016,Trampolining
2016,Golf
2016,Handball
2016,Badminton
2016,Archery
2016,Table Tennis
2016,Taekwondo
2016,Synchronized Swimming
2016,Rugby Sevens
2020,Baseball
2020,Softball
2020,Beach Volleyball
2020,Tennis
2020,Triathlon
2020,Rhythmic Gymnastics
2020,Trampolining
2020,Golf
2020,Handball
2020,Badminton
2020,Archery
2020,Table Tennis
2020,Taekwondo
2020,Synchronized Swimming
2020,Rugby Sevens
2020,Karate
2020,Sport Climbing
2020,Surfing
2020,Skateboarding
2024,Beach Volleyball
2024,Tennis
2024,Triathlon
2024,Karate
2024,Rhythmic Gymnastics
2024,Trampolining
2024,Golf
2024,Handball
2024,Badminton
2024,Archery
2024,Table Tennis
2024,Taekwondo
2024,Synchronized Swimming
2024,Rugby Sevens
2024,Sport Climbing
2024,Surfing
2024,Skateboarding
2024,Breaking
